"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Overall","Grade"
"199",52.5,55,85,67.5,90,78,92,80,80,12,6,13,0,17,52,54.45,65,60.5,78.4375,69.0740740740741,72.0173611111111,"C"
"200",92.5,97.5,0,85,90,76,81,90,80,12,11,9,12,15,69.6,78.3,87,87,86.5,75.5555555555556,86.4333333333333,"B+"
"201",100,100,92.5,90,100,99,90,95,100,12,12,18,17,18,70.4,80.1,88,89,97.0625,96.6666666666667,93.46875,"A"
"202",82,100,87.5,90,100,96,100,80,95,11,9,13,11,15,55.2,57.6,69,64,93.8125,74.0740740740741,79.0548611111111,"C+"
"203",72.5,95,100,80,100,76,100,90,70,12,11,18,20,20,68.8,81,86,90,89.1875,100,91.45625,"A"
"204",82.5,85,95,90,100,95,87,85,85,12,11,16,14,20,59.2,71.1,74,79,90.25,93.5185185185185,85.6527777777778,"B"
"205",89.5,100,100,70,100,0,97,100,98,10,9,13,14,15,56,56.7,70,63,94.3125,74.0740740740741,77.1548611111111,"C"
"206",95,75,100,100,100,99,85,85,100,12,6,10,10,19,60.8,51.3,76,57,95.5,66.8518518518518,78.1277777777778,"C+"
"207",92.5,100,100,100,100,100,100,100,100,12,8,11,16,18,66.4,66.6,83,74,100,78.8888888888889,86.9333333333333,"B+"
"208",92.5,0,92.5,95,100,95,0,0,80,9,10,0,7,12,55.2,41.4,69,46,69.375,59.4444444444444,61.0291666666667,"C-"
"209",67,0,47.5,90,100,59,59,80,98,12,11,16,17,18,63.2,70.65,79,78.5,75.0625,90.1851851851852,81.4715277777778,"B-"
"210",90,90,90,90,0,0,0,0,0,6,6,0,7,0,66.24,12.6,82.8,14,45,28.3333333333333,37.81,"F"
"211",90,80,80,60,71.25,95,95,100,90,12,8,14,13,15,63.2,61.65,79,68.5,87.65625,73.1481481481481,80.1940972222222,"B-"
"212",0,0,82.5,75,90,0,87,0,80,10,9,0,10,18,30.4,27,38,30,51.8125,71.6666666666667,49.39375,"F"
"213",77.5,100,92.5,65,90,78,97,95,80,12,8.5,10,17,18,40.8,65.7,51,73,88.75,81.9444444444444,77.3666666666667,"C"
"214",90,77.5,100,90,100,83,100,100,100,12,6,9,16,7,54.4,58.05,68,64.5,95.375,60,77.3375,"C"
"215",85,100,100,95,100,96,88,90,85,12,11,18,14,17,68,73.35,85,81.5,94.25,92.2222222222222,89.4833333333333,"A-"
"216",100,100,100,90,94,98,97,85,91,12,10,14,11,16,70.4,65.7,88,73,96.25,80.3703703703704,86.7805555555556,"B+"
"217",75,85,92.5,55,51,68,76,80,80,12,8,9,10,17,68.8,63,86,70,76.4375,67.2222222222222,77.7145833333333,"C+"
"218",88.5,0,0,100,85,99,90,85,79,12,11,16,13,19,68.8,69.3,86,77,78.3125,91.8518518518518,83.7215277777778,"B"
"219",77.5,100,92.5,90,95,97,100,90,0,11,12,12,17,19,61.6,81.9,77,91,92.75,93.3333333333333,89.975,"A-"
"220",72.5,100,100,95,100,83,88,60,85,12,11,13,15,18,71.2,74.7,89,83,90.4375,85.5555555555555,88.5145833333333,"A-"
"221",55,92.5,92.5,97.5,75,77,100,85,85,12,5,14,10.5,19,60.8,70.65,76,78.5,88.0625,75.0925925925926,82.5076388888889,"B"
"222",90,90,90,90,90,93,67,0,0,11,9,18,0,0,69.6,61.2,87,68,76.25,58.3333333333333,76.025,"C"
"223",67.5,67.5,95,77.5,100,87.5,70,90,85,7,4,0,5,9,68.8,62.1,86,69,84.0625,34.4444444444444,66.8354166666667,"C-"
"224",73.5,80,100,100,90,89,94,90,0,12,8,14,15,17,63.2,60.75,79,67.5,89.5625,79.2592592592593,81.4326388888889,"B-"
"225",92.5,100,100,30,100,100,100,85,75,12,11,5,0,20,63.6,44.1,79.5,49,94.0625,73.1481481481482,77.3409722222222,"C"
"226",65,50,72.5,90,80,0,0,62.5,0,8,10,13,10,0,65.6,63.45,82,70.5,52.5,68.5185185185185,64.0527777777778,"C-"
"227",92.5,100,100,90,100,99,99,87.5,100,12,7,16,16,11,48.8,53.1,61,59,97.5625,75.7407407407407,77.5798611111111,"C+"
"228",88.5,92.5,95,60,85,0,0,100,0,11,7,0,8,7,56.8,49.95,71,55.5,65.125,44.4444444444444,64.2791666666667,"C-"
"229",72.5,100,77.5,45,89,90,90,75,65,12,6.5,10,15,13,57.6,54,72,60,82.375,65.1851851851852,73.8902777777778,"C"
"230",87.5,100,82.5,90,100,90,100,80,85,12,7,13,6,11,61.6,24.3,77,27,91.875,61.8518518518519,68.9902777777778,"C-"
"231",77.5,77.5,95,100,99,92,80,87.5,85,11,4,8,13,12,61.6,44.1,77,49,89.5,56.4814814814815,72.9722222222222,"C"
"232",73.5,72.5,60,0,80,0,0,60,0,11,8,10,8,0,68,49.5,85,55,43.25,54.0740740740741,61.8361111111111,"C-"
"233",100,85,92.5,100,90,99,0,100,100,12,8,18,20,17,61.2,80.1,76.5,89,95.8125,95,90.54375,"A"
"234",94,100,100,100,100,98,100,100,100,12,12,15,14,17,71.2,77.85,89,86.5,99.75,89.4444444444445,92.7666666666667,"A"
"235",97.5,100,97.5,100,100,86,100,90,100,12,11,18,13,18,62.4,80.1,78,89,98.125,93.8888888888889,91.3708333333333,"A"
"236",94.5,97,96,100,80,100,97,100,100,12,9,15,10,20,64,68.85,80,76.5,98.0625,86.1111111111111,87.4604166666667,"B+"
"237",92.5,100,100,98,100,98,86,100,98,12,12,15,10,16,66.4,72,83,80,98.3125,87.7777777777778,89.2604166666667,"A-"
"238",100,100,100,65,95,94,100,95,100,12,12,10,16,18,70.4,80.1,88,89,98,90,92.75,"A"
"239",100,85,100,100,100,99,97,80,95,12,12,18,19,20,80,84.6,100,94,97,100,97.6,"A+"
"240",92.5,100,97.5,80,95,100,90,100,70,12,12,18,17,20,79.2,88.2,99,98,94.375,100,97.6125,"A+"
"241",95,85,100,70,0,99,95,95,100,12,11,13,10,18,77.6,86.4,97,96,92.375,84.6296296296296,93.8069444444444,"A"
"242",92.5,100,95,100,100,90,100,85,97.5,12,3,6,4,13,31.2,20.7,39,23,96.875,41.1111111111111,58.7791666666667,"D"
"243",92.5,100,97.5,100,100,99,92,100,85,12,11,16,19,19,63.2,68.85,79,76.5,97.625,93.8888888888889,88.2958333333333,"A-"
"244",87.5,87.5,100,60,95,72,70,80,0,12,10,11,12,0,62.4,62.1,78,69,81.5,68.1481481481482,77.5222222222222,"C+"
"245",80,0,77.5,20,0,37,67,50,85,10,4,3,6,8,50.4,58.5,63,65,52.0625,34.4444444444444,57.6354166666667,"D"
"246",82.5,95,90,77.5,100,95,84,85,100,12,10,16,16,15,46.4,61.2,58,68,91.4375,84.0740740740741,78.6423611111111,"C+"
"247",82.5,97.5,75,50,42.5,86,61,85,100,12,7,11,7,16,55.2,49.95,69,55.5,79.625,66.4814814814815,71.5347222222222,"C"
"248",96,99,91.5,70,93,86,65,75,90,12,8,7,6,14,41.6,35.1,52,39,87.5625,58.5185185185185,65.1965277777778,"C-"
"249",75,85,100,100,100,99,90,90,80,11,11,15,19,19,70.4,82.8,88,92,93,93.8888888888889,92.5833333333333,"A"
"250",92.5,100,100,90,100,99,100,95,100,12,11,14,15,13,66.4,70.2,83,78,98.3125,81.4814814814815,87.8159722222222,"B+"
"251",94.5,84,95,95,100,98,86,100,0,12,8,13,16,14,40.8,58.95,51,65.5,94.0625,74.0740740740741,75.9048611111111,"C"
"252",72.5,77.5,0,75,85,0,0,0,65,10,0,5,7,7,19.2,18.45,24,20.5,46.875,32.5925925925926,36.8763888888889,"F"
"253",100,79,85,95,85,91,79,75,92,12,11,8,18,18,64,63.9,80,71,88.25,90.5555555555556,83.8083333333333,"B"
"254",92.5,100,100,90,98,99,97,100,95,12,8,12,11,15,25.6,54.9,32,61,97.6875,69.4444444444444,71.3729166666667,"C"
"255",100,100,90,100,100,94,100,100,0,11,12,14,15,0,72,72.9,90,81,98,84.2592592592593,90.2888888888889,"A"
"256",93,73,100,88,100,96,80,95,95,10,12,9,13,12,76,65.25,95,72.5,93.375,75,84.3875,"B"
"257",100,85,97.5,100,95,0,89,90,90,11,9.5,17,10,17,49.6,66.6,62,74,93.3125,86.2037037037037,81.8243055555556,"B-"
"258",92.5,100,100,70,100,100,100,100,85,12,9,16,19,0,67.2,72.45,84,80.5,97.1875,86.2962962962963,89.0256944444445,"A-"
"259",92.5,92.5,90,90,100,90,100,90,85,12,10,13,17,20,63.2,86.4,79,96,93.125,89.4444444444445,91.1541666666667,"A"
"260",68,55.5,85,0,65,50,52,0,20,10,6,9,6,7,43.2,28.8,54,32,49.4375,45,48.38125,"F"
"261",92.5,92.5,100,90,100,100,100,0,80,12,11.5,18,0,20,70.4,78.3,88,87,94.375,98.6111111111111,92.4541666666667,"A"
"262",57.5,100,100,0,80,93,76,75,95,12,9,13,14,18,79.2,66.6,99,74,84.5625,79.0740740740741,85.5298611111111,"B"
"263",89.5,57,95,90,0,98,0,75,100,9,9,14,9,11,37.6,71.1,47,79,75.5625,69.2592592592593,68.2076388888889,"C-"
"264",89.5,79,97.5,100,90,99,100,100,99,12,12,16,15,18,68.8,85.95,86,95.5,96.875,92.9629629629629,94.0819444444444,"A"
"265",75,100,92.5,100,100,99,100,90,100,12,10,16,19,20,77.6,77.4,97,86,97.6875,94.6296296296296,94.4006944444445,"A"
"266",87.5,92.5,90,80,90,80,89,90,55,12,9,14,16,20,52,71.1,65,79,87.375,85.9259259259259,81.8513888888889,"B-"
"267",57.5,70,82.5,0,55,0,51,45,0,11,10,7,11.5,0,40,55.8,50,62,45.125,59.9074074074074,58.0236111111111,"D"
"268",52.5,77.5,97.5,50,95,80,79,90,50,12,8,7,13,18,46.4,52.65,58,58.5,77.6875,73.8888888888889,70.6145833333333,"C"
"269",82.5,0,92.5,80,93,98,85,100,85,12,10,14,11,18,68.8,75.15,86,83.5,89.5,83.7037037037037,87.4805555555556,"B+"
"270",62.5,70,87.5,60,100,80,84,95,80,12,5,16,13,15,42.4,63.9,53,71,82.375,76.2962962962963,74.5069444444444,"C"
"271",65,55,87.5,90,90,72,77,0,80,12,10,13,11.5,16,68,75.6,85,84,77.0625,78.5185185185185,82.8965277777778,"B"
"272",85,90,90,20,95,85,97,75,80,12,7,5,10,6,59.52,57.6,74.4,64,87.125,46.1111111111111,73.9341666666667,"C"
"273",100,100,100,100,100,75,100,95,65,12,11.5,13,9,17,50.4,68.4,63,76,96.25,84.3518518518518,83.1277777777778,"B"
"274",87.5,100,92.5,100,100,100,90,100,100,12,10,16,15,17,69.6,81,87,90,97.8125,85.7407407407407,92.1048611111111,"A"
"275",92.5,70,85,80,100,97,79,100,85,12,10,18,19,20,76.8,68.4,96,76,89.8125,98.3333333333333,89.89375,"A-"
"276",62.5,80,75,100,95,95,100,85,100,12,9,18,16,15,56.8,53.55,71,59.5,91.25,85,79.2,"C+"
"277",87,100,100,100,99,99,100,100,96,11,6,12,14,18,64,78.75,80,87.5,99.25,75.5555555555556,88.9833333333333,"A-"
"278",60,75,100,0,100,94,100,90,100,10,6,6,5,8,69.6,44.55,87,49.5,89.875,41.1111111111111,70.9041666666667,"C"
"279",79,96.5,92.5,100,100,98,87,100,82,12,12,14,15,20,66.4,70.65,83,78.5,94.5,92.5925925925926,88.4638888888889,"A-"
"280",87.5,97.5,95,90,90,88,100,60,100,12,8,15,13.5,0,68.8,70.2,86,78,93.5,72.5,85.625,"B"
"281",60,82.5,92.5,80,0,73,85.5,100,85,11,9,9,11.5,13,76.8,74.7,96,83,82.3125,65.8333333333333,84.51875,"B"
"282",90,100,100,100,95,99,100,95,100,12,12,18,16,18,64.8,72.9,81,81,98.625,96.6666666666667,90.5375,"A"
"283",92.5,100,100,100,100,99,100,100,95,12,10,12,14,19,71.2,76.5,89,85,99.25,82.7777777777778,91.2416666666667,"A"
"284",87.5,100,65,70,0,76,80,100,98,9,6,6,11,19,53.6,70.2,67,78,84.5625,66.6666666666667,74.26875,"C"
"285",0,85,100,100,100,99,100,97.5,100,12,8,14,14,15,60,81,75,90,97.6875,74.2592592592593,87.9451388888889,"B+"
"286",70,70,55,65,72.5,58,47,60,80,12,11,10,15,20,65.6,58.05,82,64.5,66.3125,88.8888888888889,75.7520833333333,"C"
"287",82.5,77.5,100,90,95,93,84,100,85,12,12,14,17,9,59.2,70.2,74,78,91.1875,87.5925925925926,84.7951388888889,"B"
"288",100,85,100,100,100,87,97,90,100,12,8,18,17,18,64,66.15,80,73.5,96.75,91.6666666666667,87.15,"B+"
"289",82.5,100,92.5,80,100,99,100,80,100,12,12,18,18,20,71.2,89.1,89,99,94.25,100,95.825,"A+"
"290",0,80,100,95,78,90,77,75,97,11,10,12,11,17,58.4,59.85,73,66.5,86.5,78.3333333333333,78.925,"C+"
"291",77.5,0,92.5,90,85,66,48,70,85,12,6,9,5,6,28,40.05,35,44.5,76.75,43.3333333333333,57.65,"D"
"292",92.5,72.5,72.5,30,0,83,100,0,85,12,7,8,7,3,20.8,18.45,26,20.5,66.9375,45.9259259259259,47.2951388888889,"F"
"293",92.5,100,100,100,100,99,97,100,85,12,11,18,19,20,71.2,79.65,89,88.5,98.5625,98.3333333333333,94.24375,"A"
"294",73.5,85,95,90,99,88,97,90,100,12,6,14,9,14,75.2,64.8,94,72,93,65.9259259259259,84.5888888888889,"B"
"295",92.5,100,100,100,100,100,92,0,95,12,11,17,15,20,78.4,80.1,98,89,97.4375,95.3703703703704,95.3868055555556,"A+"
"296",92.5,92.5,97.5,80,97,100,89,90,60,11,10.5,12,6,14,51.2,44.1,64,49,92.3125,74.7222222222222,73.9520833333333,"C"
"297",52.5,47.5,97.5,75,65,81,79,90,65,10,9,8,8,15,39.2,60.3,49,67,75.625,64.8148148148148,66.9597222222222,"C-"
"298",77.5,92.5,77.5,90,93,90,90,55,65,11,8,8,6,10,64,49.05,80,54.5,84.4375,53.7037037037037,73.0118055555556,"C"
"299",72.5,65,90,70,75,84,65,80,85,11,10,11,16,19,64,71.1,80,79,77.6875,86.1111111111111,81.9729166666667,"B-"
"300",78.5,0,72.5,90,95,87,97,100,100,11,6,14,17,13,56,60.75,70,67.5,90,75.9259259259259,79.2638888888889,"C+"
"301",80,100,95,70,87.5,90,96,100,85,12,11,11,11,19,61.6,80.55,77,89.5,91.6875,82.5925925925926,87.6701388888889,"B+"
"302",62.5,0,77.5,90,100,98,100,90,100,12,12,17,7,18,76,74.25,95,82.5,89.75,94.8148148148148,90.7722222222222,"A"
"303",94,100,100,90,100,99,100,95,95,12,11,14,16,18,56.8,65.25,71,72.5,97.875,87.2222222222222,84.7708333333333,"B"
"304",66,85,90,90,100,0,65,95,100,12,10,4,15,13,42.4,36.9,53,41,86.375,74.4444444444444,67.9291666666667,"C-"
"305",77.5,85,85,60,100,100,86,100,80,12,9,15,15,13,44,60.3,55,67,89.1875,77.7777777777778,76.1729166666667,"C"
"306",87.5,77.5,100,95,95,100,0,75,75,12,11.5,16,15,20,67.2,72.9,84,81,88.125,94.9074074074074,87.7236111111111,"B+"
"307",99.5,100,100,90,72.5,100,97,100,98,12,11,18,15,18,56,70.2,70,78,98.0625,93.8888888888889,87.0020833333333,"B+"
"308",82.5,100,95,80,95,96,100,80,85,12,12,14,17,18,72,76.5,90,85,91.6875,91.6666666666667,90.50625,"A"
"309",85,95,85,100,100,98,88,90,85,12,12,9,13,19,64.8,67.5,81,75,92.625,86.6666666666667,85.7375,"B"
"310",52.5,92.5,97.5,0,91.25,0,0,0,0,10,7,0,0,0,43.2,20.7,54,23,41.71875,19.4444444444444,39.9822916666667,"F"
"311",87.5,77.5,100,60,100,89,83,80,80,12,10,14,13,16,59.2,71.55,74,79.5,87.125,80.3703703703704,82.8680555555556,"B"
"312",92.5,100,95,100,100,99,100,85,98,12,12,16,15,19,80,84.15,100,93.5,98.0625,94.6296296296296,96.9881944444445,"A+"
"313",47.5,72.5,92.5,95,100,88.5,80,82.5,100,12,9,11,9,20,47.2,62.1,59,69,88.875,78.7037037037037,77.5180555555555,"C+"
"314",98,94,77.5,90,95,97,100,90,99,12,11,13,11,15,60.8,48.6,76,54,95.375,79.6296296296296,79.2569444444444,"C+"
"315",80.5,85,100,90,95,96,86,60,100,12,8,14,15,19,76.8,66.15,96,73.5,91.5625,82.5925925925926,87.4326388888889,"B+"
"316",60,0,90,0,0,91,0,47.5,66,11,9,13,6,20,62.4,53.55,78,59.5,44.3125,82.4074074074074,66.1298611111111,"C-"
"317",0,50,42.5,80,100,83,71,75,50,12,8,11,11,7,14.4,39.6,18,44,68.9375,60.9259259259259,54.4201388888889,"D"
"318",92.5,85,100,70,90,96,100,100,100,11,9,12,9,19,67.2,64.8,84,72,95.4375,78.8888888888889,85.2645833333333,"B"
"319",92.5,100,100,100,100,0,90,100,100,11,11,11,13,16,78.4,75.6,98,84,97.8125,78.8888888888889,91.7770833333333,"A"
"320",87.5,100,97.5,100,90,80,100,80,94,12,9,13,12,15,54.4,53.1,68,59,93.625,74.0740740740741,77.5486111111111,"C+"
"321",65,100,90,90,100,99,86,72.5,75,12,12,16,16,19,71.2,72.9,89,81,89.0625,94.6296296296296,88.9631944444445,"A-"
"322",92.5,100,100,100,95,100,86,100,80,12,11.5,13,12,20,62.4,74.25,78,82.5,96.6875,89.3518518518518,88.6340277777778,"A-"
"323",82.5,100,95,100,0,100,92,100,100,12,7,18,13,16,68.8,63.9,86,71,96.1875,81.6666666666667,86.05625,"B+"
"324",0,75,67.5,90,80,71,0,50,0,8,10,11,5,7,64,44.55,80,49.5,54.1875,59.8148148148148,57.6034722222222,"D"
"325",82.5,87.5,85,35,60,95,87,100,85,11,7,17,19,20,71.2,81,89,90,85.25,96.4814814814815,90.3472222222222,"A"
"326",82.5,100,85,90,95,85,90,100,82.5,12,12,10,13,15,46.4,71.1,58,79,90.9375,80,80.63125,"B-"
"327",72.5,100,100,100,100,80,76,85,98,12,11,13,14,20,74.4,80.1,93,89,92.375,87.9629629629629,91.7569444444444,"A"
"328",72.5,70,100,90,100,95,97,100,85,12,12,16,15,16,72,75.15,90,83.5,92.4375,89.6296296296296,90.0506944444444,"A"
"329",0,0,0,10,0,0,53.5,70,32,9,4,0,11,9,32.8,56.7,41,63,20.6875,44.4444444444444,42.8229166666667,"F"
"330",88.5,99,0,0,85,0,0,85,85,12,9,9,16,14,57.6,50.85,72,56.5,55.3125,75,66.36875,"C-"
"331",95,95,100,100,95,99,100,100,100,12,11,16,13,20,65.6,81,82,90,98.625,93.5185185185185,92.5152777777778,"A"
"332",72.5,92.5,100,90,95,89,83,95,100,12,11,4,12,15,60.8,57.15,76,63.5,93.0625,75.5555555555556,80.3270833333333,"B-"
"333",100,85,100,100,100,99,97,85,95,12,12,18,20,20,80,89.1,100,99,97,100,98.85,"A+"
"334",92.5,75,100,100,96.25,96,100,90,100,12,9,16,14,18,61.6,74.7,77,83,96.84375,84.6296296296296,87.8975694444444,"B+"
